id,first_name,last_name,email,job_title,phone,hire_date
1,Jose,Lopez,joselopez0944@slingacademy.com,Project Manager,+1-971-533-4552x1542,
2,Diane,Carter,dianecarter1228@slingacademy.com,Machine Learning Engineer,881.633.0107,
3,Shawn,Foster,shawnfoster2695@slingacademy.com,Project Manager,001-966-861-0065x493,
4,Brenda,Fisher,brendafisher3185@slingacademy.com,Web Developer,001-574-564-4648,
5,Sean,Hunter,seanhunter4753@slingacademy.com,Project Manager,5838355842,
6,Joshua,Jacobs,joshuajacobs5904@slingacademy.com,Project Manager,053-913-2609,
7,Brianna,Marshall,briannamarshall6438@slingacademy.com,Machine Learning Engineer,701-932-8553,
8,John,Tate,johntate7881@slingacademy.com,Mobile Developer,001-889-992-5260x62725,
9,Jillian,Byrd,jillianbyrd8170@slingacademy.com,Web Developer,077-635-0084x1647,
10,Melanie,Sharp,melaniesharp9256@slingacademy.com,Web Developer,(848)212-0230,
11,Brandy,Mckee,brandymckee10500@slingacademy.com,Web Developer,001-085-315-6112x464,
12,Robert,Simpson,robertsimpson11778@slingacademy.com,DevOps Engineer,496-469-5331x659,
13,George,Mckenzie,georgemckenzie12384@slingacademy.com,Machine Learning Engineer,(843)416-2489,
14,Joseph,Smith,josephsmith13724@slingacademy.com,Machine Learning Engineer,+1-380-230-4166,
15,Dana,Crawford,danacrawford14310@slingacademy.com,Project Manager,(848)716-0019x0240,
16,Christopher,Benson,christopherbenson15937@slingacademy.com,Web Developer,+1-368-801-2914x8616,
17,Nicole,Smith,nicolesmith16360@slingacademy.com,Designer,289.372.5080x2156,
18,Peter,Jimenez,peterjimenez17791@slingacademy.com,Mobile Developer,001-535-827-3787x317,
19,Sergio,Boyle,sergioboyle18425@slingacademy.com,Tester,3027626274,
20,Brianna,Moss,briannamoss19517@slingacademy.com,Designer,+1-529-287-4857x163,
21,Taylor,Garner,taylorgarner20196@slingacademy.com,Machine Learning Engineer,931-244-1612x38767,
22,Michael,Padilla,michaelpadilla21381@slingacademy.com,Tester,(787)446-1738,
23,Yvette,Walker,yvettewalker22744@slingacademy.com,Designer,154-489-0248,
24,Kristina,Pena,kristinapena23750@slingacademy.com,DevOps Engineer,+1-099-174-5458x294,
25,Vanessa,Reynolds,vanessareynolds24710@slingacademy.com,Machine Learning Engineer,+1-357-911-9617x44729,
26,Robert,Suarez,robertsuarez25924@slingacademy.com,Tester,+1-121-053-2698x314,
27,Tammy,Ellis,tammyellis26570@slingacademy.com,HR Manager,029.476.5817x88014,
28,Rodney,Porter,rodneyporter27496@slingacademy.com,DevOps Engineer,+1-508-187-4826,
29,David,Reyes,davidreyes28592@slingacademy.com,Designer,(725)355-0896x3876,
30,Brian,Kirby,briankirby29574@slingacademy.com,Machine Learning Engineer,458.110.0220x9710,
31,Tammy,Walker,tammywalker30386@slingacademy.com,Web Developer,+1-810-034-9706x602,
32,Angela,Stewart,angelastewart31951@slingacademy.com,HR Manager,745-157-5520,
33,Susan,Parker,susanparker32865@slingacademy.com,DevOps Engineer,255.599.0102,
34,Robert,Hogan,roberthogan33599@slingacademy.com,Tester,1138662041,
35,Dawn,Pham,dawnpham34908@slingacademy.com,Designer,(106)836-9118x102,
36,Karen,Duke,karenduke35869@slingacademy.com,DevOps Engineer,622.245.2756,
37,Julian,Thompson,julianthompson36437@slingacademy.com,Machine Learning Engineer,392.181.9671x23227,
38,Daisy,Perry,daisyperry37789@slingacademy.com,Tester,+1-921-685-9612x0086,
39,Sarah,Smith,sarahsmith38793@slingacademy.com,Machine Learning Engineer,(110)771-1347x58805,
40,Eric,Randolph,ericrandolph39291@slingacademy.com,Designer,001-048-278-1814x8904,
41,William,Keller,williamkeller40838@slingacademy.com,Web Developer,903-521-4220x53915,
42,George,Salas,georgesalas41217@slingacademy.com,Web Developer,088.890.2450x1927,
43,Alyssa,Archer,alyssaarcher42600@slingacademy.com,DevOps Engineer,001-335-037-7267x43704,
44,Daniel,Wagner,danielwagner43907@slingacademy.com,HR Manager,001-038-830-2184x508,
45,David,Howard,davidhoward44518@slingacademy.com,Machine Learning Engineer,(940)475-4836,
46,Brett,Friedman,brettfriedman45236@slingacademy.com,HR Manager,+1-548-885-3476x195,
47,Shaun,Harris,shaunharris46875@slingacademy.com,Designer,(279)621-2475,
48,Jason,Morris,jasonmorris47229@slingacademy.com,DevOps Engineer,001-588-064-2677x4053,
49,Jesse,Mcdaniel,jessemcdaniel48348@slingacademy.com,Mobile Developer,600-434-1206x901,
50,Jessica,Torres,jessicatorres49971@slingacademy.com,HR Manager,547-005-1763x2506,
51,Bradley,Garcia,bradleygarcia50896@slingacademy.com,Designer,(267)794-5965,
52,Christopher,Walker,christopherwalker51808@slingacademy.com,Mobile Developer,954.740.2159,
53,Jason,Boyd,jasonboyd52182@slingacademy.com,Designer,001-199-903-4307x52539,
54,Colleen,Cooper,colleencooper53362@slingacademy.com,Machine Learning Engineer,001-075-516-4089x887,
55,Laurie,Robinson,laurierobinson54980@slingacademy.com,Mobile Developer,989.611.2546,
56,Tiffany,Novak,tiffanynovak55365@slingacademy.com,Mobile Developer,528-213-5280x73418,
57,Sophia,Coleman,sophiacoleman56563@slingacademy.com,Tester,101.121.4803x8420,
58,Jodi,Harris,jodiharris57145@slingacademy.com,DevOps Engineer,001-466-805-0485,
59,Michael,Calhoun,michaelcalhoun58176@slingacademy.com,Web Developer,001-931-707-3027,
60,Aaron,Tran,aarontran59178@slingacademy.com,DevOps Engineer,+1-121-704-1976x1624,
61,Karen,Aguirre,karenaguirre60547@slingacademy.com,Web Developer,+1-159-954-5997x959,
62,Danielle,Morrison,daniellemorrison61394@slingacademy.com,HR Manager,001-256-780-2930x98623,
63,Amanda,Thomas,amandathomas62614@slingacademy.com,Web Developer,001-629-462-1944,
64,Sarah,Spencer,sarahspencer63772@slingacademy.com,Tester,(025)089-0360,
65,Jessica,Ho,jessicaho64531@slingacademy.com,DevOps Engineer,251-289-1532,
66,Kristy,Rhodes,kristyrhodes65269@slingacademy.com,Web Developer,001-482-958-2236x124,
67,Joseph,Hobbs,josephhobbs66797@slingacademy.com,Mobile Developer,114.830.3568x128,
68,Allison,Matthews,allisonmatthews67756@slingacademy.com,Web Developer,(394)302-9258,
69,James,Phillips,jamesphillips68522@slingacademy.com,Web Developer,(733)967-0336,
70,Philip,Thomas,philipthomas69207@slingacademy.com,DevOps Engineer,592-756-5695x9778,
71,Dawn,Walker,dawnwalker70868@slingacademy.com,Mobile Developer,+1-173-846-6935x7118,
72,Denise,Lopez,deniselopez71911@slingacademy.com,Designer,597.328.1460,
73,Gregory,House,gregoryhouse72945@slingacademy.com,HR Manager,1541376919,
74,Stacie,Diaz,staciediaz73929@slingacademy.com,Machine Learning Engineer,110.987.1187x01990,
75,Barbara,Burns,barbaraburns74284@slingacademy.com,Web Developer,001-724-808-4339x05491,
76,Jessica,Cortez,jessicacortez75317@slingacademy.com,Tester,768.794.6062,
77,Daniel,Hernandez,danielhernandez76747@slingacademy.com,Tester,+1-653-006-3659,
78,Eugene,Diaz,eugenediaz77610@slingacademy.com,Machine Learning Engineer,625.556.6039x715,
79,Earl,Nelson,earlnelson78644@slingacademy.com,Web Developer,001-666-637-1061,
80,Elizabeth,Jackson,elizabethjackson79562@slingacademy.com,DevOps Engineer,129-182-2223x8234,
81,John,Martinez,johnmartinez80595@slingacademy.com,Web Developer,001-116-711-6587,
82,Wesley,Shaw,wesleyshaw81546@slingacademy.com,Mobile Developer,0250878834,
83,Michael,Davila,michaeldavila82958@slingacademy.com,DevOps Engineer,9179864827,
84,Heidi,Hill,heidihill83123@slingacademy.com,Tester,+1-480-021-8701x17016,
85,Yvonne,Bass,yvonnebass84513@slingacademy.com,Tester,+1-872-139-6739x9455,
86,Jamie,Jones,jamiejones85266@slingacademy.com,Web Developer,001-039-712-8015,
87,Brady,Washington,bradywashington86649@slingacademy.com,Designer,(720)496-1780x5033,
88,Michael,Rivera,michaelrivera87962@slingacademy.com,Web Developer,243-399-1129,
89,Angela,Morales,angelamorales88595@slingacademy.com,Web Developer,(340)684-6223x44918,
90,Larry,Moore,larrymoore89266@slingacademy.com,Web Developer,320.169.9790x514,
91,Veronica,Oliver,veronicaoliver90922@slingacademy.com,Tester,629-088-9248x536,
92,Clayton,Smith,claytonsmith91214@slingacademy.com,Mobile Developer,8318062400,
93,Tamara,Randall,tamararandall92432@slingacademy.com,Mobile Developer,001-483-384-8547x78248,
94,Amy,Vaughn,amyvaughn93722@slingacademy.com,Designer,542.795.3600x28212,
95,Larry,Chapman,larrychapman94932@slingacademy.com,Designer,001-539-747-0649,
96,Eugene,Mcintyre,eugenemcintyre95994@slingacademy.com,HR Manager,481-160-8125,
97,Patricia,Suarez,patriciasuarez96379@slingacademy.com,Designer,(674)788-1168x659,
98,Melissa,Vasquez,melissavasquez97165@slingacademy.com,DevOps Engineer,490-884-4764,
99,Stephanie,Hodges,stephaniehodges98715@slingacademy.com,Web Developer,001-651-909-2654x62888,
100,Brian,Watkins,brianwatkins99160@slingacademy.com,Web Developer,2648820032,
101,Zachary,Ellis,zacharyellis100141@slingacademy.com,Tester,+1-485-616-5391x8807,
102,Mark,Maxwell,markmaxwell101603@slingacademy.com,Tester,137-430-7223,
103,Jill,Farmer,jillfarmer102620@slingacademy.com,DevOps Engineer,0571661198,
104,Rhonda,Park,rhondapark103796@slingacademy.com,DevOps Engineer,498-878-6219,
105,Jessica,Park,jessicapark104881@slingacademy.com,HR Manager,874-348-4705,
106,Keith,Bender,keithbender105366@slingacademy.com,Machine Learning Engineer,001-243-891-5674x423,
107,Andrew,Silva,andrewsilva106948@slingacademy.com,HR Manager,3782883279,
108,John,Escobar,johnescobar107306@slingacademy.com,Mobile Developer,661.598.4267x044,
109,Savannah,Woods,savannahwoods108924@slingacademy.com,Web Developer,(084)639-6565x41150,
110,Cameron,Solis,cameronsolis109983@slingacademy.com,Machine Learning Engineer,+1-654-849-0805x279,
111,Patrick,Johnson,patrickjohnson110856@slingacademy.com,Tester,+1-538-767-6692x1656,
112,Nathan,Oconnor,nathanoconnor111395@slingacademy.com,Mobile Developer,189.488.8815x56036,
113,Felicia,Fox,feliciafox112789@slingacademy.com,Web Developer,001-231-826-1761x9193,
114,Nicole,Davis,nicoledavis113588@slingacademy.com,Web Developer,+1-352-114-7038x011,
115,Gregory,Kirk,gregorykirk114408@slingacademy.com,Machine Learning Engineer,(622)794-0249x585,
116,Ashley,Carrillo,ashleycarrillo115726@slingacademy.com,Tester,001-097-500-5888,
117,Brandon,White,brandonwhite116729@slingacademy.com,Machine Learning Engineer,+1-197-659-8290x36913,
118,Joshua,Miles,joshuamiles117429@slingacademy.com,Web Developer,+1-810-231-0550,
119,Gabriel,Shannon,gabrielshannon118996@slingacademy.com,DevOps Engineer,001-435-888-3180x25244,
120,Charles,Chan,charleschan119980@slingacademy.com,Machine Learning Engineer,077-570-4283,
121,Stephanie,Hill,stephaniehill120240@slingacademy.com,DevOps Engineer,(765)304-0263x230,
122,Brian,Kelly,briankelly121771@slingacademy.com,DevOps Engineer,+1-029-019-2206x665,
123,Susan,Lopez,susanlopez122522@slingacademy.com,Machine Learning Engineer,573-472-7131,
124,Logan,Edwards,loganedwards123515@slingacademy.com,Designer,536.588.4331,
125,Ryan,Young,ryanyoung124775@slingacademy.com,DevOps Engineer,001-105-720-6802x583,
126,Rebecca,Crawford,rebeccacrawford125111@slingacademy.com,Web Developer,(450)663-6253x153,
127,Leslie,Sullivan,lesliesullivan126504@slingacademy.com,Tester,161.488.4614x1551,
128,Andrew,Carey,andrewcarey127127@slingacademy.com,DevOps Engineer,4267904671,
129,Richard,Sawyer,richardsawyer128529@slingacademy.com,Mobile Developer,(485)441-3528,
130,Garrett,Nguyen,garrettnguyen129713@slingacademy.com,Machine Learning Engineer,+1-370-218-5389x8154,
131,Cody,Zuniga,codyzuniga130555@slingacademy.com,DevOps Engineer,911.596.7824x40746,
132,James,Johnson,jamesjohnson131504@slingacademy.com,Tester,358.400.3210,
133,Jamie,Ruiz,jamieruiz132870@slingacademy.com,Tester,001-015-657-5863x0258,
134,Brandi,Evans,brandievans133450@slingacademy.com,Tester,(388)123-2730x36223,
135,Jennifer,Obrien,jenniferobrien134415@slingacademy.com,Mobile Developer,001-576-701-2547,
136,Whitney,Espinoza,whitneyespinoza135280@slingacademy.com,Machine Learning Engineer,(395)465-0024x542,
137,Brandon,Rosario,brandonrosario136801@slingacademy.com,Mobile Developer,5804460236,
138,Jennifer,Rhodes,jenniferrhodes137946@slingacademy.com,Web Developer,+1-182-210-6837x27845,
139,Jordan,Michael,jordanmichael138385@slingacademy.com,Mobile Developer,(372)150-9511,
140,James,Knight,jamesknight139390@slingacademy.com,Web Developer,325.002.8388x1091,
141,Michelle,Ramirez,michelleramirez140449@slingacademy.com,Machine Learning Engineer,923.789.8867x807,
142,Peter,Mercado,petermercado141760@slingacademy.com,Mobile Developer,890-585-7726x64628,
143,Jason,George,jasongeorge142858@slingacademy.com,Machine Learning Engineer,001-431-125-6069,
144,John,Arroyo,johnarroyo143863@slingacademy.com,Machine Learning Engineer,6849186207,
